column,column_nat,column_type,table_list,table_cnt,type,sample_list
connestabtimetot,ConnEstabTimeTot,double,['dpsn_lte_ss_enb_rrc_connection_setup_time_1h'],1,number,"[0.15, 0.545, 0.818]"
connnoavg,ConnNoAvg,double,['dpsn_lte_ss_enb_cell_conn_1h'],1,number,"[0.070915, 0.218761, 0.645336]"
connnoavg,호처리 RRC 동시접속자수 ,double,['dpsn_lte_all_enb_conn_no_1h'],1,number,"[0.10728848, 0.23645191, 0.68838657]"
connnocnt,ConnNoAvg의 수집횟수의 누적 값,double,['dpsn_lte_all_enb_conn_no_1h'],1,number,"[0.3591399, 0.7589551, 0.8229234]"
connnocnt,ConnNoCnt,double,['dpsn_lte_ss_enb_cell_conn_1h'],1,number,"[0.2, 0.8, 0.9]"
connnomax,ConnNoMax,double,['dpsn_lte_ss_enb_cell_conn_1h'],1,number,"[0.502, 0.59, 0.987]"
connnomax,호처리 RRC 동시접속자수 ,double,['dpsn_lte_all_enb_conn_no_1h'],1,number,"[0.2001, 0.3386, 0.3991]"
connnotot,ConnNoAvg의 누적 값,double,['dpsn_lte_all_enb_conn_no_1h'],1,number,"[0.14760873, 0.27061673, 0.36511618]"
connnotot,ConnNoTot,double,['dpsn_lte_ss_enb_cell_conn_1h'],1,number,"[0.183699, 0.187157, 0.450414]"
copy_yn,COPY여부,string,['epot_wk_ru'],1,string,"['Y', 'N']"
core_cbl_ring_cd,코어케이블링코드,string,"['gis_fclt_tn_falt_bas', 'gis_fclt_tn_falt_bas']",2,string,"['2BAB1bukZCa', 'TDs2uh1q5GTI', 'PtTROhAdqL8']"
coworker,현장운용팀 코드,string,['zpmcode1'],1,string,"['GQhXNhHnSP', '1cN11ZNxJK9U', 'vJO20e23Uy']"
cpu,DM CPU,string,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,string,"['dZDD7UNmVn', 'p23b1Qvc', '1Rbxblzw4ST']"
cpu_load,CPU LOAD,string,"['aua_cell_by10sec_sum', 'aua_cell_by10sec_sum']",2,string,"['P8NrXvFoC', 'TK5tjLFuOdRT', 'eI57K2uW42P']"
cqi,Channel Quality Indicator,string,['dsmf_qlt_low_rqp_loc_1h'],1,string,"['PSDmU1yplZCD', 'lu6magcw', 'ng0TqBtk']"
